Etunimi;Lukumäärä
Juhani;275071
Olavi;137393
Tapani;133098
Antero;131502
Johannes;130996
Tapio;112447
Mikael;106442
Kalevi;87082
Matti;75079
Pekka;74711
Petteri;73354
Ilmari;68555
Matias;64817
Sakari;62874
Kristian;54451
Cheesqoq!#213;-233
Nykänen;4945
Hietala;4910
Holopainen;4888
Häkkinen;4859
Andersson;4856
Ranta;4839
Korpela;4814
Tamminen;4811
Eriksson;4801
Kukkonen;4774
Härkönen;4768
Karhu;4749
Karvonen;4690
Hyvönen;4677
Tiainen;4670
Pasanen;4649
Jokela;4636
Jaakkola;4633
Saarela;4547
Väänänen;4509
Sillanpää;4491
Rautio;4469
Kosonen;4465
Kujala;4465
Virta;4450
Malinen;4447
Autio;4388
Lindroos;4361
Kivelä;4352
Timonen;4293
Lindqvist;4265
Jussila;4248
Rinne;4229
Kolehmainen;4213
Huhtala;4210
Valtonen;4196
Hokkanen;4189
Lampinen;4185
Räisänen;4161
Tolonen;4135
Nissinen;4117
Eskelinen;4069
Nousiainen;4066
Koivula;4058
Vartiainen;3997
Lindberg;3979
Laakkonen;3976
Lepistö;3964
Asikainen;3947
Kuusela;3903
Koistinen;3864
Kyllönen;3863
Luoma;3859
Pelkonen;3793
Kulmala;3777
Hautala;3750
Liimatainen;3729
Tuovinen;3721
Tolvanen;3699
Pietilä;3697
Helenius;3678
Koivunen;3677
Huotari;3657
Voutilainen;3645
Viljanen;3642
Penttinen;3640
Pennanen;3624
Marttila;3606
Riikonen;3597
Järvenpää;3596
Hyttinen;3590
Repo;3590
Luukkonen;3589
Takala;3579
Suhonen;3578
Kumpulainen;3568
Hietanen;3563
Pakarinen;3561
Karttunen;3548
Nuutinen;3539
Ronkainen;3536
Eskola;3527
Lindgren;3523
Eklund;3510
Ketola;3502
Haavisto;3480
Haapala;3473
Eronen;3460
Lehtimäki;3447
Myllymäki;3447
Penttilä;3384
Kainulainen;3382
Huovinen;3381
Auvinen;3370
Saastamoinen;3365
Juvonen;3358
Vuori;3353
Paavola;3340
Helin;3313
Liukkonen;3306
Viitala;3301
Hautamäki;3267
Komulainen;3263
Kivimäki;3249
Markkanen;3247
Keskinen;3229
Rintala;3218
Ollila;3206
Tuomi;3187
Taskinen;3170
Lähteenmäki;3169
Lehtola;3162
Silvennoinen;3148
Välimäki;3147
Ollikainen;3145
Suomalainen;3145
Sipilä;3129
Gustafsson;3107
Kähkönen;3098
Halme;3097
Nylund;3075
Kortelainen;3074
Perälä;3071
Blomqvist;3048
Hannula;3037
Kuosmanen;3036
Turpeinen;3027
Kantola;3007
Hytönen;3005
Meriläinen;2999
Lindfors;2980
Tanskanen;2976
Matilainen;2951
Matikainen;2924
Jalonen;2910
Ylitalo;2901
Holm;2888
Helminen;2883
Jansson;2861
Alatalo;2856
Tervo;2850
Kivistö;2847
Kanerva;2819
Soininen;2818
Kiviniemi;2809
Varis;2803
Rytkönen;2802
Väyrynen;2802
Puhakka;2796
Erkkilä;2788
Henriksson;2782
Kurki;2779
Rauhala;2769
Taipale;2766
Karvinen;2746
Berg;2745
Nyberg;2722
Tarvainen;2717
Pajunen;2715
Pääkkönen;2711
Peltoniemi;2707
Ojanen;2702
Kilpeläinen;2689
Puustinen;2686
Mäntylä;2679
Laiho;2678
Mattsson;2656
Kankaanpää;2654
Lassila;2654
Tikka;2647
Oinonen;2643
Kuisma;2633
Piirainen;2628
Backman;2615
Kärki;2614
Lehikoinen;2614
Kivinen;2611
Pohjola;2611
Pirinen;2602
Korpi;2600
Räty;2581
Haapanen;2570
Kauppila;2563
Niiranen;2562
Parkkinen;2554
Jaatinen;2550
Haverinen;2528
Ylönen;2501
Jauhiainen;2490
Lipponen;2486
Moisio;2486
Kaikkonen;2481
Valkonen;2465
Rossi;2463
Ruuskanen;2462
Haataja;2455
Raatikainen;2451
Vesterinen;2449
Keinänen;2447
Jäntti;2446
Holmberg;2434
Mononen;2415
Sainio;2412
Venäläinen;2412
Nikula;2407
Syrjälä;2402
Järvelä;2384
Holmström;2379
Lilja;2365
Pekkala;2364
Anttonen;2359
Kovanen;2352
Linna;2350
Palomäki;2335
Kämäräinen;2327
Pehkonen;2321
Tirkkonen;2318
Ahokas;2308
Latvala;2296
Sallinen;2294
Kuronen;2291
Alanko;2285
Männistö;2280
Karhunen;2277
Seppä;2267
Huuskonen;2265
Valkama;2260
Vuorela;2260
Sirén;2259
Konttinen;2238
Oikarinen;2237
Elo;2234
Tiihonen;2231
Muhonen;2230
Sjöblom;2213
Riihimäki;2208
Salomaa;2207
Snellman;2207
Alanen;2206
Eloranta;2203
Sirviö;2196
Soini;2195
Kiuru;2193
Pekkarinen;2169
Simola;2164
Forsman;2163
Rönkkö;2161
Ryynänen;2157
Keskitalo;2156
Lammi;2155
Reinikainen;2150
Kalliokoski;2137
Järvi;2126
Kari;2121
Ylinen;2115
Marttinen;2114
Airaksinen;2102
Haapaniemi;2102
Nevala;2093
Simonen;2090
Aro;2089
Uotila;2085
Holappa;2079
Pöllänen;2077
Ihalainen;2063
Sutinen;2056
Grönroos;2054
Puranen;2047
Kauppi;2043
Tähtinen;2042
Joensuu;2030
Antikainen;2029
Lankinen;2027
Sihvonen;2022
Aarnio;2013
Lehti;2002
Sundström;2000
Toivola;1994
Paavilainen;1982
Kauhanen;1975
Friman;1967
Sivonen;1965
Törmänen;1961
Kiiskinen;1958
